name	aldebaran_block
type	none
shadow	0
antigravity 100
animationscript	data/scripts/player.c

anim	idle
	loop	1
	delay	5
	offset	7 26
   drawmethod  alpha 1
   drawmethod  channel 0.53
	frame	data/chars/aldebaran/special/aldebaran_block/aldebaran_block-0.png
	frame	data/chars/aldebaran/special/aldebaran_block/aldebaran_block-1.png
	frame	data/chars/aldebaran/special/aldebaran_block/aldebaran_block-2.png
	frame	data/chars/aldebaran/special/aldebaran_block/aldebaran_block-3.png
	frame	data/chars/aldebaran/special/aldebaran_block/aldebaran_block-4.png
	frame	data/chars/aldebaran/special/aldebaran_block/aldebaran_block-5.png
	frame	data/chars/aldebaran/special/aldebaran_block/aldebaran_block-6.png
	frame	data/chars/aldebaran/special/aldebaran_block/aldebaran_block-7.png
	frame	data/chars/aldebaran/special/aldebaran_block/aldebaran_block-8.png
	frame	data/chars/aldebaran/special/aldebaran_block/aldebaran_block-9.png
	frame	data/chars/aldebaran/special/aldebaran_block/aldebaran_block-10.png
	frame	data/chars/aldebaran/special/aldebaran_block/aldebaran_block-11.png
	frame	data/chars/aldebaran/special/aldebaran_block/aldebaran_block-12.png
	frame	data/chars/aldebaran/special/aldebaran_block/aldebaran_block-13.png
	frame	data/chars/aldebaran/special/aldebaran_block/aldebaran_block-14.png
	frame	data/chars/aldebaran/special/aldebaran_block/aldebaran_block-15.png
	frame	data/chars/aldebaran/special/aldebaran_block/aldebaran_block-16.png
	@cmd suicide
	frame	data/chars/aldebaran/special/aldebaran_block/aldebaran_block-16.png
