name	camus_block
type	none
shadow	0


anim	idle
	loop	0
	delay	10
	offset	5 31
   drawmethod  alpha 1
   drawmethod  channel 0.53
	frame	data/chars/camus/special/camus_block/camus_block-0.png
	frame	data/chars/camus/special/camus_block/camus_block-1.png
	frame	data/chars/camus/special/camus_block/camus_block-2.png
	frame	data/chars/camus/special/camus_block/camus_block-3.png
	frame	data/chars/camus/special/camus_block/camus_block-4.png
	frame	data/chars/camus/special/camus_block/camus_block-5.png
	frame	data/chars/camus/special/camus_block/camus_block-6.png
	frame	data/chars/camus/special/camus_block/camus_block-7.png
	frame	data/chars/camus/special/camus_block/camus_block-8.png
	frame	data/chars/camus/special/camus_block/camus_block-9.png
	frame	data/chars/camus/special/camus_block/camus_block-10.png
	frame	data/chars/camus/special/camus_block/camus_block-11.png
	frame	data/chars/camus/special/camus_block/camus_block-12.png
	frame	data/chars/camus/special/camus_block/camus_block-13.png
	frame	data/chars/camus/special/camus_block/camus_block-14.png
	frame	data/chars/camus/special/camus_block/camus_block-15.png
	frame	data/chars/camus/special/camus_block/camus_block-16.png

