
name	APHRODITE
health	2680
speed	1
type	enemy

icon	data/chars/APHRODITE/icon.png
\\hostile          player
\\aimove           Wander
\\aimove           Chase
\\aimove           Avoid
aggression       -100
hitenemy          0 0
blockodds 1
blocked 1
noquake 1 1
nodrop 2
nodieblink 3
nomove 1 0
\\facing 2
\\subject_to_wall 0
\\subject_to_hole 0
\\subject_to_screen 0
\\subject_to_minz 1
\\subject_to_maxz 1
falldie 1
gfxshadow	1
load pescisuper1
load pescisuper2
load pescisuper3

load cosmo

anim DEATH
loop	0
	offset	220 244

	delay	10




frame	data/chars/APHRODITE/16.png
frame	data/chars/APHRODITE/17.png
frame	data/chars/APHRODITE/18.png
frame	data/chars/APHRODITE/24.png
frame	data/chars/APHRODITE/21.png
frame	data/chars/APHRODITE/22.png
frame	data/chars/APHRODITE/24.png
frame	data/chars/APHRODITE/24.png
frame	data/chars/APHRODITE/24.png
frame	data/chars/APHRODITE/24.png
frame	data/chars/APHRODITE/24.png
frame	data/chars/APHRODITE/24.png
frame	data/chars/APHRODITE/24.png
frame	data/chars/APHRODITE/24.png
frame	data/chars/APHRODITE/24.png
frame	data/chars/APHRODITE/24.png
frame	data/chars/APHRODITE/24.png
frame	data/chars/APHRODITE/24.png
frame	data/chars/APHRODITE/24.png
frame	data/chars/APHRODITE/24.png
frame	data/chars/APHRODITE/24.png
frame	data/chars/APHRODITE/24.png
frame	data/chars/APHRODITE/24.png
frame	data/chars/APHRODITE/24.png
frame	data/chars/APHRODITE/24.png
frame	data/chars/APHRODITE/24.png
frame	data/chars/APHRODITE/24.png
frame	data/chars/APHRODITE/24.png
frame	data/chars/APHRODITE/24.png
frame	data/chars/APHRODITE/24.png
frame	data/chars/APHRODITE/24.png
frame	data/chars/APHRODITE/24.png
frame	data/chars/APHRODITE/24.png
frame	data/chars/APHRODITE/24.png
frame	data/chars/APHRODITE/24.png
frame	data/chars/APHRODITE/24.png
frame	data/chars/APHRODITE/24.png



anim	block
loop	0
	offset	220 244
dropv 4 1 0

	delay	10

subentity cosmo
summonframe 2 100 430 0 1

dropv 4 1 0
	
frame	data/chars/APHRODITE/00.png	
frame	data/chars/APHRODITE/000.png	
frame	data/chars/APHRODITE/null.png	










anim idle
	loop	1
	delay	10
	offset	220 244
dropv 4 1 0
	attack.damage.force 10
	attack.position.x 118
	attack.position.y -275
	attack.reaction.fall.force 1
	attack.reaction.fall.velocity.x 1.0
	attack.reaction.fall.velocity.y 4.0
	attack.reaction.fall.velocity.z 0.0
	attack.size.x 205
	attack.size.y 742
	bbox.position.x 184
	bbox.position.y 99
	bbox.size.x 77
	bbox.size.y 162
frame	data/chars/APHRODITE/01.png
frame	data/chars/APHRODITE/01.png


anim walk
	loop	1
	delay	10
	offset	220 244
dropv 4 1 0
	bbox.position.x 184
	bbox.position.y 93
	bbox.size.x 81
	bbox.size.y 167
	attack.damage.force 0
	attack.position.x 0
	attack.position.y -1
	attack.reaction.fall.force 0
	attack.reaction.fall.velocity.x 1.0
	attack.reaction.fall.velocity.y 4.0
	attack.reaction.fall.velocity.z 0.0
	attack.size.x 0
	attack.size.y 0
frame	data/chars/APHRODITE/01.png






anim pain
    loop	0
	
	delay	5
offset	220 244
dropv 4 1 0
	attack.damage.force 10
	attack.position.x 121
	attack.position.y -57
	attack.reaction.fall.force 1
	attack.reaction.fall.velocity.x 1.0
	attack.reaction.fall.velocity.y 4.0
	attack.reaction.fall.velocity.z 0.0
	attack.size.x 202
	attack.size.y 476
frame	data/chars/APHRODITE/02.png
	attack.damage.force 0
	attack.position.x 0
	attack.position.y 0
	attack.reaction.fall.force 0
	attack.size.x 0
	attack.size.y 0
frame	data/chars/APHRODITE/02.png
	


        

anim fall






anim rise
        loop	0
	offset	220 244
	delay	10

dropv 4 1 0
	attack.damage.force 0
	attack.position.x 105
	attack.position.y 0
	attack.reaction.fall.force 0
	attack.reaction.fall.velocity.x 1.0
	attack.reaction.fall.velocity.y 4.0
	attack.reaction.fall.velocity.z 0.0
	attack.size.x 0
	attack.size.y 0
frame	data/chars/APHRODITE/01.png
frame	data/chars/APHRODITE/01.png


	


anim attack1

 range	-1000 1000
        loop	0
	offset	220 244
	delay	6
sound data/chars/APHRODITE/01.wav

custknife	pescisuper1
	throwframe	3


dropv 4 1 0
	attack.damage.force 10
	attack.position.x 124
	attack.position.y -57
	attack.reaction.fall.force 1
	attack.reaction.fall.velocity.x 1.0
	attack.reaction.fall.velocity.y 4.0
	attack.reaction.fall.velocity.z 0.0
	attack.size.x 202
	attack.size.y 465
frame	data/chars/APHRODITE/03.png
	attack.damage.force 0
	attack.position.x 0
	attack.position.y 0
	attack.reaction.fall.force 0
	attack.size.x 0
	attack.size.y 0
frame	data/chars/APHRODITE/06.png
	attack.damage.force 10
	attack.position.x 30
	attack.position.y -302
	attack.reaction.fall.force 1
	attack.size.x 378
	attack.size.y 778
frame	data/chars/APHRODITE/09.png
	attack.damage.force 0
	attack.position.x 0
	attack.position.y 0
	attack.reaction.fall.force 0
	attack.size.x 0
	attack.size.y 0
frame	data/chars/APHRODITE/10.png
	attack.damage.force 10
