
name	FIORE
health	1340
speed	1
type	enemy

icon	data/chars/FIORE/icon.png
\\hostile          player
\\aimove           Wander
\\aimove           Chase
\\aimove           Avoid
aggression       -50
hitenemy          0 0
blockodds 1
blocked 1
noquake 1 1
nodrop 2
nodieblink 3
nomove 1 0
facing 1
\\subject_to_wall 0
\\subject_to_hole 0
\\subject_to_screen 0
\\subject_to_minz 1
\\subject_to_maxz 1
falldie 1





anim DEATH
loop	0
	offset	70 130

	delay	3




frame	data/chars/FIORE/01.png
frame	data/chars/FIORE/16.png
frame	data/chars/FIORE/01.png
frame	data/chars/FIORE/16.png
frame	data/chars/FIORE/01.png
frame	data/chars/FIORE/16.png
frame	data/chars/FIORE/01.png
frame	data/chars/FIORE/16.png
frame	data/chars/FIORE/01.png
frame	data/chars/FIORE/16.png
frame	data/chars/FIORE/01.png
frame	data/chars/FIORE/16.png
frame	data/chars/FIORE/01.png
frame	data/chars/FIORE/16.png
frame	data/chars/FIORE/01.png
frame	data/chars/FIORE/16.png
frame	data/chars/FIORE/01.png
frame	data/chars/FIORE/16.png
frame	data/chars/FIORE/01.png
frame	data/chars/FIORE/16.png
frame	data/chars/FIORE/01.png
frame	data/chars/FIORE/16.png
frame	data/chars/FIORE/01.png
frame	data/chars/FIORE/16.png
frame	data/chars/FIORE/01.png
frame	data/chars/FIORE/16.png
frame	data/chars/FIORE/01.png
frame	data/chars/FIORE/16.png
frame	data/chars/FIORE/01.png
frame	data/chars/FIORE/16.png
frame	data/chars/FIORE/01.png
frame	data/chars/FIORE/16.png
frame	data/chars/FIORE/01.png
frame	data/chars/FIORE/16.png
frame	data/chars/FIORE/01.png
frame	data/chars/FIORE/16.png
frame	data/chars/FIORE/null.png


anim	block
loop	0
	offset	70 130

	delay	10


dropv 4 1 0
	
	bbox.position.x -1
	bbox.position.y -12
	bbox.size.x 148
	bbox.size.y 166
frame	data/chars/FIORE/01.png	
frame	data/chars/FIORE/16.png	




anim idle
	loop	1
	delay	10
	offset	70 130
	dropv 4 1 0
	
	attack.damage.force 10
	attack.position.x -74
	attack.position.y -399
	attack.reaction.fall.force 1
	attack.reaction.fall.velocity.x 1.0
	attack.reaction.fall.velocity.y 4.0
	attack.reaction.fall.velocity.z 0.0
	attack.size.x 298
	attack.size.y 697
	bbox.position.x -4
	bbox.position.y -14
	bbox.size.x 152
	bbox.size.y 172
frame	data/chars/FIORE/01.png
	attack.damage.force 0
	attack.position.x 0
	attack.position.y 0
	attack.reaction.fall.force 0
	attack.size.x 0
	attack.size.y 0
	frame	data/chars/FIORE/01.png

anim walk
	loop	1
	delay	10
	offset	70 130
	dropv 4 1 0
	bbox.position.x -7
	bbox.position.y -11
	bbox.size.x 160
	bbox.size.y 165
	attack.damage.force 0
	attack.position.x 0
	attack.position.y 0
	attack.reaction.fall.velocity.x 1.0
	attack.reaction.fall.velocity.y 4.0
	attack.reaction.fall.velocity.z 0.0
	attack.size.x 0
	attack.size.y 0
frame	data/chars/FIORE/01.png
frame	data/chars/FIORE/01.png





anim pain
    loop	0
	
	delay	5
offset	70 130
	dropv 4 1 0
	attack.damage.force 10
	attack.position.x -71
	attack.position.y -424
	attack.reaction.fall.force 1
	attack.reaction.fall.velocity.x 1.0
	attack.reaction.fall.velocity.y 4.0
	attack.reaction.fall.velocity.z 0.0
	attack.size.x 297
	attack.size.y 747
frame	data/chars/FIORE/01.png
	
	attack.damage.force 0
	attack.position.x 0
	attack.position.y 0
	attack.reaction.fall.force 0
	attack.size.x 0
	attack.size.y 0
frame	data/chars/FIORE/16.png
	


        

anim fall






anim rise
        loop	0
	offset	70 130
	delay	10

dropv 4 1 0
	
frame	data/chars/FIORE/01.png
frame	data/chars/FIORE/01.png


	


anim attack1










anim attack2




anim attack3
 





anim jump
	

    


anim jumpattack
	








