name	hyoga_frozenray
type	none
candamage enemy npc
shadow	0
remove 0
antigravity 100
animationscript	data/scripts/player.c
nolife 1
anim	idle
	loop	1
	fastattack 1
	delay	3
	offset	30 87
	drawmethod alpha 1
	frame	data/chars/hyoga/special/hyoga_frozenray/frozenray1.png
	frame	data/chars/hyoga/special/hyoga_frozenray/frozenray2.png
	frame	data/chars/hyoga/special/hyoga_frozenray/frozenray3.png
	frame	data/chars/hyoga/special/hyoga_frozenray/frozenray4.png
	frame	data/chars/hyoga/special/hyoga_frozenray/frozenray5.png
	frame	data/chars/hyoga/special/hyoga_frozenray/frozenray6.png
	frame	data/chars/hyoga/special/hyoga_frozenray/frozenray7.png
	frame	data/chars/hyoga/special/hyoga_frozenray/frozenray8.png
	frame	data/chars/hyoga/special/hyoga_frozenray/frozenray9.png
	frame	data/chars/hyoga/special/hyoga_frozenray/frozenray10.png
	frame	data/chars/hyoga/special/hyoga_frozenray/frozenray11.png
	frame	data/chars/hyoga/special/hyoga_frozenray/frozenray12.png
	frame	data/chars/hyoga/special/hyoga_frozenray/frozenray13.png
	frame	data/chars/hyoga/special/hyoga_frozenray/frozenray14.png
	frame	data/chars/hyoga/special/hyoga_frozenray/frozenray15.png
	frame	data/chars/hyoga/special/hyoga_frozenray/frozenray16.png
	frame	data/chars/misc/empty.gif	
	@cmd	suicide	
	frame	data/chars/misc/empty.gif
