name	hyoga_twister
type	none
candamage player
shadow	0
setlayer 100
antigravity 100
remove 0
didhitscript	data/scripts/didhit/tint_ice.c
animationscript	data/scripts/player.c

anim	idle
	loop	0
	fastattack 1
	delay	10
	offset	50 180
	drawmethod alpha 1
	attack1 0
	frame	data/chars/hyoga/special/hyoga_twister/twister1.png
	freeze  56 28 36 15 0 5
	frame	data/chars/hyoga/special/hyoga_twister/twister2.png
	attack1 0
	frame	data/chars/hyoga/special/hyoga_twister/twister3.png
	frame	data/chars/hyoga/special/hyoga_twister/twister4.png
	frame	data/chars/hyoga/special/hyoga_twister/twister5.png
	frame	data/chars/hyoga/special/hyoga_twister/twister6.png
	frame	data/chars/hyoga/special/hyoga_twister/twister7.png
	frame	data/chars/hyoga/special/hyoga_twister/twister8.png
	frame	data/chars/hyoga/special/hyoga_twister/twister9.png
	frame	data/chars/hyoga/special/hyoga_twister/twister10.png
	frame	data/chars/hyoga/special/hyoga_twister/twister11.png
	frame	data/chars/hyoga/special/hyoga_twister/twister12.png
	frame	data/chars/hyoga/special/hyoga_twister/twister13.png
	attack5 0
	@cmd suicide
	frame	data/chars/hyoga/special/hyoga_twister/twister13.png
