
name	LIONET-BAN
health	100
speed	25
type	player
shadow	0

mp 100

weaploss 2
modelflag 0

icon	data/chars/LIONET-BAN/icon.png
nodieblink 1
jumpheight 5
\\jumpspeed 6
running 45 5 3
noquake 1 1

makeinv 4 0

weapons         LBARMA0 LBARMA1 LBARMA2 LBARMA3 LBARMA4 LBARMA5 LBARMA6 LIONET-BAN





com  d  -> s  freespecial

blockodds 1

holdblock 2



anim	SHOCK


loop	0
offset	212 173
delay	5



dropv 4 1 0

frame	data/chars/LIONET-BAN/SELECT3.png
frame	data/chars/LIONET-BAN/SELECT4.png
frame	data/chars/LIONET-BAN/SELECT3.png
frame	data/chars/LIONET-BAN/SELECT4.png
frame	data/chars/LIONET-BAN/SELECT3.png
frame	data/chars/LIONET-BAN/SELECT4.png
frame	data/chars/LIONET-BAN/SELECT3.png
frame	data/chars/LIONET-BAN/SELECT4.png
frame	data/chars/LIONET-BAN/SELECT3.png
frame	data/chars/LIONET-BAN/SELECT4.png
frame	data/chars/LIONET-BAN/SELECT3.png
frame	data/chars/LIONET-BAN/SELECT4.png
frame	data/chars/LIONET-BAN/SELECT3.png
frame	data/chars/LIONET-BAN/SELECT4.png
frame	data/chars/LIONET-BAN/SELECT3.png
frame	data/chars/LIONET-BAN/SELECT4.png

frame	data/chars/LIONET-BAN/null.png


anim VICTORY

  loop	0
	delay	10
	offset	212 173
frame	data/chars/LIONET-BAN/35.png
frame	data/chars/LIONET-BAN/35.png
frame	data/chars/LIONET-BAN/35.png
frame	data/chars/LIONET-BAN/35.png
frame	data/chars/LIONET-BAN/35.png
frame	data/chars/LIONET-BAN/35.png
frame	data/chars/LIONET-BAN/35.png




anim	waiting
  loop	0
	delay	10
	offset	102 142
frame	data/chars/LIONET-BAN/SELECT.png



anim	select
loop	0
	delay	10
	offset	102 142
sound data/chars/select.wav
frame	data/chars/LIONET-BAN/SELECT.png
frame	data/chars/LIONET-BAN/SELECT2.png
frame	data/chars/LIONET-BAN/SELECT.png
frame	data/chars/LIONET-BAN/SELECT2.png
frame	data/chars/LIONET-BAN/SELECT.png
frame	data/chars/LIONET-BAN/SELECT2.png
frame	data/chars/LIONET-BAN/SELECT.png
frame	data/chars/LIONET-BAN/SELECT2.png
frame	data/chars/LIONET-BAN/SELECT.png
frame	data/chars/LIONET-BAN/SELECT2.png
frame	data/chars/LIONET-BAN/SELECT.png
frame	data/chars/LIONET-BAN/SELECT2.png
frame	data/chars/LIONET-BAN/SELECT.png
frame	data/chars/LIONET-BAN/SELECT2.png
frame	data/chars/LIONET-BAN/SELECT.png
frame	data/chars/LIONET-BAN/SELECT2.png
frame	data/chars/LIONET-BAN/SELECT.png
frame	data/chars/LIONET-BAN/SELECT2.png
frame	data/chars/LIONET-BAN/SELECT.png
