name          pirax
type          enemy
health        30
speedf         1.4
jumpheight    4
throw         5 2
throwdamage   18
falldie	      2
shadow        0
cantgrab      1
noquake       1
notgrab	      1
nolife        1
knockdowncount -1
dust          zero
projectilehit enemy obstacle
animationscript data/scripts/escript.c

alternatepal       data/chars/2bug10/map1.gif
alternatepal       data/chars/2bug10/map2.gif

load	splash



anim	attack1
	range	120 190
	rangez	-15 15
	loop	0
	delay	50
	offset	110 125
	bbox	0 0 0 0
	jumpframe	1 3 1.5
	landframe	46
	frame	data/chars/2bug10/empty.gif
	@cmd	spawnAni "splash" 1 30 2 "ANI_FOLLOW2"
	delay	5
	bbox	75 85 75 60 25
	seta 	20
	frame	data/chars/2bug10/a01.gif
	frame	data/chars/2bug10/a02.gif
	frame	data/chars/2bug10/a03.gif
	frame	data/chars/2bug10/a04.gif
	frame	data/chars/2bug10/a05.gif
	frame	data/chars/2bug10/a06.gif
	frame	data/chars/2bug10/a07.gif
	frame	data/chars/2bug10/a08.gif
	attack2	80 100 65 40 6 0 0 0 20 20
	frame	data/chars/2bug10/a09.gif
	frame	data/chars/2bug10/a10.gif
	frame	data/chars/2bug10/a11.gif
	frame	data/chars/2bug10/a12.gif
	frame	data/chars/2bug10/a13.gif
	frame	data/chars/2bug10/a14.gif
	frame	data/chars/2bug10/a15.gif
	frame	data/chars/2bug10/a16.gif
	frame	data/chars/2bug10/a17.gif
	frame	data/chars/2bug10/a11.gif
	frame	data/chars/2bug10/a12.gif
	frame	data/chars/2bug10/a13.gif
	frame	data/chars/2bug10/a14.gif
	frame	data/chars/2bug10/a11.gif
	frame	data/chars/2bug10/a12.gif
	frame	data/chars/2bug10/a13.gif
	frame	data/chars/2bug10/a14.gif
	frame	data/chars/2bug10/a11.gif
	frame	data/chars/2bug10/a12.gif
	frame	data/chars/2bug10/a13.gif
	frame	data/chars/2bug10/a14.gif
	frame	data/chars/2bug10/a11.gif
	frame	data/chars/2bug10/a12.gif
	frame	data/chars/2bug10/a13.gif
	frame	data/chars/2bug10/a14.gif
	frame	data/chars/2bug10/a11.gif
	frame	data/chars/2bug10/a12.gif
	frame	data/chars/2bug10/a13.gif
	frame	data/chars/2bug10/a14.gif
	frame	data/chars/2bug10/a11.gif
	frame	data/chars/2bug10/a12.gif
	frame	data/chars/2bug10/a13.gif
	frame	data/chars/2bug10/a14.gif
	frame	data/chars/2bug10/a11.gif
	frame	data/chars/2bug10/a12.gif
	frame	data/chars/2bug10/a13.gif
	attack2	0 0 0 0
	delay	100
	frame	data/chars/2bug10/a14.gif
	bbox	0 0 0 0
	delay	3
	frame	data/chars/2bug10/empty.gif
	@cmd	spawnAni "splash" 1 1 2 "ANI_FOLLOW2"
	frame	data/chars/2bug10/empty.gif
	frame	data/chars/2bug10/empty.gif
	delay	50
	frame	data/chars/2bug10/empty.gif
		
anim	attack2
	range	50 100
	rangez	-15 15
	loop	0
	delay	50
	offset	110 125
	bbox	0 0 0 0
	jumpframe	1 3 0.5
	landframe	46
	frame	data/chars/2bug10/empty.gif
	@cmd	spawnAni "splash" 1 30 2 "ANI_FOLLOW2"
	delay	5
	seta	30
	bbox	75 85 75 60 25
	frame	data/chars/2bug10/a01.gif
	frame	data/chars/2bug10/a02.gif
	frame	data/chars/2bug10/a03.gif
	frame	data/chars/2bug10/a04.gif
	frame	data/chars/2bug10/a01.gif
	frame	data/chars/2bug10/a02.gif
	frame	data/chars/2bug10/a03.gif
	frame	data/chars/2bug10/a04.gif
	attack2	80 100 65 40 6 0 0 0 20 20
	frame	data/chars/2bug10/a01.gif
	frame	data/chars/2bug10/a02.gif
	frame	data/chars/2bug10/a03.gif
	frame	data/chars/2bug10/a04.gif
	frame	data/chars/2bug10/a05.gif
