name      diamantecd
health    0
score     5000
type      item
#shadow   0
gfxshadow 1 3
nolife    1
didhitscript    data/scripts/didhit/items.c
animationscript data/scripts/player.c

anim idle
   loop    1
   delay   100
   offset  18 17
   bbox    5 1 22 16
   @cmd    itemText "5000 PTS" 0.8 2.5 8
   frame   data/chars/misc/items/points/diamantecd01.gif
   delay   5
   frame   data/chars/misc/items/points/diamantecd00.gif
   frame   data/chars/misc/items/points/diamantecd01.gif
   frame   data/chars/misc/items/points/diamantecd00.gif
   frame   data/chars/misc/items/points/diamantecd01.gif
   frame   data/chars/misc/items/points/diamantecd00.gif
   frame   data/chars/misc/items/points/diamantecd01.gif
   frame   data/chars/misc/items/points/diamantecd00.gif
   frame   data/chars/misc/items/points/diamantecd01.gif
   delay   8
   frame   data/chars/misc/items/points/diamantecd02.gif
   frame   data/chars/misc/items/points/diamantecd03.gif
   frame   data/chars/misc/items/points/diamantecd04.gif
   frame   data/chars/misc/items/points/diamantecd05.gif


