name        sagittarius-cloth
health      2680
speed       1
type        enemy


aggression  -50
hitenemy    0 0
blockodds   1
blocked     1
noquake     1 1
nodrop      2
nodieblink  3
nomove      1 0
falldie     1


load    arma0-2
load    cosmo

icon    data/chars/misc/sagittarius-cloth/icon.png


anim    DEATH
    loop     0
    offset   220 244
    delay    10
    frame    data/chars/misc/sagittarius-cloth/01.png
    frame    data/chars/misc/sagittarius-cloth/16.png
    frame    data/chars/misc/sagittarius-cloth/01.png
    frame    data/chars/misc/sagittarius-cloth/16.png
    frame    data/chars/misc/sagittarius-cloth/01.png
    frame    data/chars/misc/sagittarius-cloth/16.png
    frame    data/chars/misc/sagittarius-cloth/01.png
    frame    data/chars/misc/sagittarius-cloth/16.png
    frame    data/chars/misc/sagittarius-cloth/01.png
    frame    data/chars/misc/sagittarius-cloth/16.png
    frame    data/chars/misc/sagittarius-cloth/01.png
    frame    data/chars/misc/sagittarius-cloth/16.png
    frame    data/chars/misc/sagittarius-cloth/01.png
    frame    data/chars/misc/sagittarius-cloth/16.png
    frame    data/chars/misc/sagittarius-cloth/01.png
    frame    data/chars/misc/sagittarius-cloth/16.png
    frame    data/chars/misc/sagittarius-cloth/01.png
    frame    data/chars/misc/sagittarius-cloth/16.png
    frame    data/chars/misc/sagittarius-cloth/01.png
    frame    data/chars/misc/sagittarius-cloth/16.png
    frame    data/chars/misc/sagittarius-cloth/01.png
    frame    data/chars/misc/sagittarius-cloth/16.png
    frame    data/chars/misc/sagittarius-cloth/01.png
    frame    data/chars/misc/sagittarius-cloth/16.png
    frame    data/chars/misc/sagittarius-cloth/01.png
    frame    data/chars/misc/sagittarius-cloth/16.png
    frame    data/chars/misc/sagittarius-cloth/01.png
    frame    data/chars/misc/sagittarius-cloth/16.png
    frame    data/chars/misc/sagittarius-cloth/01.png
    frame    data/chars/misc/sagittarius-cloth/16.png
    frame    data/chars/misc/sagittarius-cloth/01.png
    frame    data/chars/misc/sagittarius-cloth/16.png
    frame    data/chars/misc/sagittarius-cloth/01.png
    frame    data/chars/misc/sagittarius-cloth/16.png
    frame    data/chars/misc/sagittarius-cloth/01.png

anim    block
    loop     0
    offset   220 244
    delay    10
    subentity    cosmo
    summonframe  2 100 318 0 1
    dropv    4 1 0
    bbox.position.x 166
    bbox.position.y 104
    bbox.size.x 113
    bbox.size.y 150
    attack.damage.force 0
    attack.position.x 0
    attack.position.y 0
    attack.reaction.fall.velocity.x 1.0
    attack.reaction.fall.velocity.y 4.0
    attack.reaction.fall.velocity.z 0.0
    attack.size.x 0
    attack.size.y 0
    frame    data/chars/misc/sagittarius-cloth/00.png
    frame    data/chars/misc/sagittarius-cloth/000.png
    frame    data/chars/misc/sagittarius-cloth/null.png

anim    idle
    loop     1
    delay    10
    offset   220 244
    dropv    4 1 0
    bbox.position.x 167
    bbox.position.y 105
    bbox.size.x 112
    bbox.size.y 148
    attack.damage.force 10
    attack.position.x 120
    attack.position.y -266
    attack.reaction.fall.force 1
    attack.reaction.fall.velocity.x 1.0
    attack.reaction.fall.velocity.y 4.0
    attack.reaction.fall.velocity.z 0.0
    attack.size.x 206
    attack.size.y 704
    frame    data/chars/misc/sagittarius-cloth/01.png
    attack.damage.force 0
    attack.position.x 0
    attack.position.y 0
    attack.reaction.fall.force 0
    attack.size.x 0
    attack.size.y 0
    frame    data/chars/misc/sagittarius-cloth/01.png

anim    walk
    loop     1
    delay    10
    offset   220 244
    dropv    4 1 0
    bbox.position.x 155
    bbox.position.y 89
    bbox.size.x 131
    bbox.size.y 179
    attack.damage.force 0
    attack.position.x 0
    attack.position.y 0
    attack.reaction.fall.velocity.x 1.0
    attack.reaction.fall.velocity.y 4.0
    attack.reaction.fall.velocity.z 0.0
    attack.size.x 0
    attack.size.y 0
    frame    data/chars/misc/sagittarius-cloth/01.png

anim    pain
    loop     0
    delay    5
    offset   220 244
    dropv    4 1 0
    attack.damage.force 10
    attack.position.x 112
    attack.position.y -288
    attack.reaction.fall.force 1
    attack.reaction.fall.velocity.x 1.0
    attack.reaction.fall.velocity.y 4.0
    attack.reaction.fall.velocity.z 0.0
    attack.size.x 212
    attack.size.y 717
    frame    data/chars/misc/sagittarius-cloth/06.png
    attack.damage.force 0
    attack.position.x 0
    attack.position.y 0
    attack.reaction.fall.force 0
    attack.size.x 0
    attack.size.y 0
    frame    data/chars/misc/sagittarius-cloth/06.png

anim    fall


anim    rise
    loop     0
    offset   220 244
    delay    10
    dropv    4 1 0
    frame    data/chars/misc/sagittarius-cloth/01.png
    frame    data/chars/misc/sagittarius-cloth/01.png

anim    attack1
    range    -5000 5000
    loop     0
    offset   220 244
    delay    6
    sound    data/chars/misc/sagittarius-cloth/01.wav
    dropv    4 1 0
    custknife   arma0-2
    throwframe  3
    bbox.position.x 167
    bbox.position.y 104
    bbox.size.x 110
    bbox.size.y 150
    attack.damage.force 50
    attack.position.x 76
    attack.position.y -274
    attack.reaction.fall.force 1
    attack.reaction.fall.velocity.x 1.0
    attack.reaction.fall.velocity.y 4.0
    attack.reaction.fall.velocity.z 0.0
    attack.size.x 296
    attack.size.y 707
    frame    data/chars/misc/sagittarius-cloth/01.png
    attack.damage.force 0
