name	ikkisuper
health	200
type	none
remove   1
speed	25
shadow	0




anim idle
	loop	1
	delay	10
	offset	0 130

	attack.damage.force 200
	attack.position.x 22
	attack.position.y 28
	attack.reaction.fall.velocity.x 1.0
	attack.reaction.fall.velocity.y 4.0
	attack.reaction.fall.velocity.z 0.0
	attack.size.x 163
	attack.size.y 155
	bbox.position.x 0
	bbox.position.y 0
	bbox.size.x 0
	bbox.size.y 0
frame	data/chars/PHOENIX-IKKI/64.png
	attack.damage.force 200
	attack.position.x 24
	attack.position.y 40
	attack.size.x 156
	attack.size.y 151
frame	data/chars/PHOENIX-IKKI/65.png
	attack.damage.force 200
	attack.position.x 25
	attack.position.y 42
	attack.size.x 154
	attack.size.y 167
frame	data/chars/PHOENIX-IKKI/66.png
	attack.damage.force 200
	attack.position.x 23
	attack.position.y 40
	attack.size.x 164
	attack.size.y 155
frame	data/chars/PHOENIX-IKKI/65.png




